Manager of the Esenler branch is Derem Acar.
Derman Bayrak is promoted from Cashier to Cook.
Katre Erdogan is promoted from Cashier to Cook.
Manager of the Orhangazi branch is Gizmen Tuncer.
Iyiturk Gunes is promoted from Cashier to Cook.
Jiyan Sari is promoted from Cashier to Cook.
Iyiturk Saglam is promoted from Cashier to Cook.
Kevser Yavuz is promoted from Cashier to Cook.
Medar Er is promoted from Cashier to Cook.
Hilal Tuncer is promoted from Cashier to Cook.
Manager of the Torbali branch is Delistan Ozdemir.
Delal Toker is promoted from Cashier to Cook.
Belgi Bayrak is promoted from Cashier to Cook.
Baha Yuksel is promoted from Cashier to Cook.
Ihsan Kilicaslan is promoted from Cashier to Cook.
Kamer Yigit is promoted from Cashier to Cook.
Ceydanur Yigit is promoted from Cashier to Cook.
Hakim Demir is promoted from Cashier to Cook.
Idris Polat is promoted from Cashier to Cook.
Hafsa Erkan is promoted from Cashier to Cook.
Basri Aydogan is promoted from Cashier to Cook.
Iyiturk Gurbuz is promoted from Cashier to Cook.
Faysal Yuksel is promoted from Cashier to Cook.
Fatoş Aygun is promoted from Cashier to Cook.
Kadime Aslan is promoted from Cashier to Cook.
Bala Gul is promoted from Cashier to Cook.
Abad Yavuz is promoted from Cashier to Cook.
Enhar Kilicarslan is promoted from Cashier to Cook.
Bozkaya Karakas is promoted from Cashier to Cook.
Faize Aksoy is promoted from Cashier to Cook.
Donat Oz is promoted from Cashier to Cook.
Fadil Cebeci is promoted from Cashier to Cook.
Bediz Ari is promoted from Cashier to Cook.
Manager of the Karkamis branch is Ayvaz Akpinar.
Balkin Sahin is promoted from Cashier to Cook.
Fırtına Cengiz is promoted from Cashier to Cook.
İlke Yilmaz is promoted from Cashier to Cook.
Derince Guler is promoted from Cashier to Cook.
Deha Toker is promoted from Cashier to Cook.
Karin Yildiran is promoted from Cashier to Cook.
Manager of the Sincan branch is Karmen Kilic.
Ifakat Tasdemir is promoted from Cashier to Cook.
Kevser Ekinci is promoted from Cashier to Cook.
Feyzullah Sahin is promoted from Cashier to Cook.
Cenah Ucar is promoted from Cashier to Cook.
Dilfeza Kocak is promoted from Cashier to Cook.
Makbule Ari is promoted from Cashier to Cook.
Manager of the Yedisu branch is Davud Ay.
Dalya Temel is promoted from Cashier to Cook.
Fatma Senol is promoted from Cashier to Cook.
Manager of the Umraniye branch is Cannur Ozdemir.
Ecehan Uzun is promoted from Cashier to Cook.
Balkoç Alkan is promoted from Cashier to Cook.
Ayaz Kilicarslan is promoted from Cashier to Cook.
Jefi Yuksel is promoted from Cashier to Cook.
Manager of the Karabaglar branch is Daime Ozdemir.
Canalp Guler is promoted from Cashier to Cook.
Darin Aydogan is promoted from Cashier to Cook.
Canaş Durmaz is promoted from Cashier to Cook.
Cavide Koc is promoted from Cashier to Cook.
Berkan Aksu is promoted from Cashier to Cook.
Ferzin Yilmazer is promoted from Cashier to Cook.
Canipek Aytac is promoted from Cashier to Cook.
Cavide Karakas is promoted from Cashier to Cook.
Hincal Koc is promoted from Cashier to Cook.
Faris Tekin is promoted from Cashier to Cook.
Evgin Aksu is promoted from Cashier to Cook.
Hüdaverdi Aktas is promoted from Cashier to Cook.
Fecri Oz is promoted from Cashier to Cook.
İkbal Arslan is promoted from Cashier to Cook.
Mamure Sarac is promoted from Cashier to Cook.
Cemresu Tuncer is promoted from Cashier to Cook.
Abdullah Karakas is promoted from Cashier to Cook.
Fermande Duran is promoted from Cashier to Cook.
Total bonuses for the Menemen branch are: 180
Edra Yilmazer is promoted from Cashier to Cook.
Dalbaş Yucel is promoted from Cashier to Cook.
Berkay Aydogan is promoted from Cashier to Cook.
Delistan Genc is promoted from Cashier to Cook.
Total bonuses for the Evren branch this month are: 527
Berkan Dagdelen is promoted from Cashier to Cook.
Ecir Cetin is promoted from Cashier to Cook.
Lara Gurbuz is promoted from Cashier to Cook.
Candan Yildirim is promoted from Cashier to Cook.
Acunalp Senol is promoted from Cashier to Cook.
Gewez Oz is promoted from Cashier to Cook.
Hurol Dag is promoted from Cashier to Cook.
Inanna Yildirim is promoted from Cashier to Cook.
Gihev Kucuk is promoted from Cashier to Cook.
Gewez Kilicaslan is promoted from Cashier to Cook.
Filinta Cetin is promoted from Cashier to Cook.
Lebriz Nas is promoted from Cashier to Cook.
Hale Yasar is promoted from Cashier to Cook.
Dalsar Saglam is promoted from Cashier to Cook.
Asli Seker is promoted from Cashier to Cook.
Manager of the Orhangazi branch is Gizmen Tuncer.
Abakan/Abakay Aksoy is promoted from Cashier to Cook.
Dirok Aksu is promoted from Cashier to Cook.
Kaniye Er is promoted from Cashier to Cook.
Manager of the Gungoren branch is Mahru Kilicarslan.
Ferahfeza Dagdelen is promoted from Cashier to Cook.
Abadın Sahiner is promoted from Cashier to Cook.
Edebali Kaya is promoted from Cashier to Cook.
Gaffar Demirci is promoted from Cashier to Cook.
Hayriye Mert is promoted from Cashier to Cook.
Hamaset Ozen is promoted from Cashier to Cook.
Manager of the Genc branch is Ece Guler.
